from,moved
https://www.azion.com/pt-br/documentacao/produtos/intelligent-dns/,https://www.azion.com/pt-br/documentacao/produtos/secure/intelligent-dns/
https://www.azion.com/pt-br/documentacao/produtos/intelligent-dns/compatibilidade-dnssec/,https://www.azion.com/pt-br/documentacao/produtos/secure/intelligent-dns/compatibilidade-dnssec/
https://www.azion.com/pt-br/documentacao/produtos/edge-orchestrator/,https://www.azion.com/pt-br/documentacao/produtos/deploy/edge-orchestrator/
https://www.azion.com/pt-br/documentacao/produtos/edge-orchestrator/edge-node/,https://www.azion.com/pt-br/documentacao/produtos/deploy/edge-orchestrator/edge-node/
https://www.azion.com/pt-br/documentacao/produtos/edge-orchestrator/edge-services/,https://www.azion.com/pt-br/documentacao/produtos/deploy/edge-orchestrator/edge-services/
https://www.azion.com/pt-br/documentacao/produtos/credenciais/,https://www.azion.com/pt-br/documentacao/produtos/deploy/credenciais/
https://www.azion.com/pt-br/documentacao/produtos/guias/edge-caching/,https://www.azion.com/pt-br/documentacao/produtos/guias/cache-settings/
https://www.azion.com/pt-br/documentacao/produtos/guias/desempenho-apis-sites-application-acceleration/,https://www.azion.com/pt-br/documentacao/produtos/guias/advanced-cache-key/
https://www.azion.com/pt-br/documentacao/produtos/guias/use-gzip-mime-types/,https://www.azion.com/pt-br/documentacao/produtos/guias/gzip-compression/
https://www.azion.com/pt-br/documentacao/produtos/guias/sites-estaticos-na-edge/,https://www.azion.com/pt-br/documentacao/produtos/guias/rules-engine/
https://www.azion.com/pt-br/documentacao/produtos/guias/blacklists-enderecos-ip-edge/,https://www.azion.com/pt-br/documentacao/produtos/guias/blocklists-enderecos-ip-edge/
https://www.azion.com/pt-br/documentacao/servicos/custom-education-programs/,https://www.azion.com/pt-br/documentacao/servicos/instructor-led-training/
https://www.azion.com/pt-br/documentacao/produtos/guias/permissoes-mktp/,https://www.azion.com/pt-br/documentacao/produtos/guias/permissoes-marketplace/
https://www.azion.com/pt-br/documentacao/produtos/guias/content_target_mktp/,https://www.azion.com/pt-br/documentacao/produtos/guias/content-targeting-integration/
https://www.azion.com/pt-br/documentacao/produtos/guias/helloworld/,https://www.azion.com/pt-br/documentacao/produtos/guias/hello-world/
https://www.azion.com/pt-br/documentacao/produtos/guias/ipaddress/,https://www.azion.com/pt-br/documentacao/produtos/guias/ip-address-reputation/
https://www.azion.com/pt-br/documentacao/produtos/guias/limitpayload/,https://www.azion.com/pt-br/documentacao/produtos/guias/limit-payload-size/
https://www.azion.com/pt-br/documentacao/produtos/guias/how-to-redirecionamento-massivo/,https://www.azion.com/pt-br/documentacao/produtos/guias/massive-redirect-integration/
https://www.azion.com/pt-br/documentacao/produtos/guias/massive-redirect/,https://www.azion.com/pt-br/documentacao/produtos/guias/configurar-massive-redirect/
https://www.azion.com/pt-br/documentacao/produtos/guias/requestdata/,https://www.azion.com/pt-br/documentacao/produtos/guias/process-request-data-into-headers/
